date,value
2025-12-25,193.74
2025-12-26,225.48
2025-12-27,219.05
2025-12-28,207.24
2025-12-29,200.36
2025-12-30,219.27
2025-13-01,225.88
2025-13-02,207.96
2025-13-03,215.15
2025-13-04,199.84
2025-13-05,223.87
